,title,link,summary,published,tags,category,credit,source,lemmatized_text,audio
305,Feriho na pražské kandidátce Spolu vystřídal starosta Prahy 6 Kolář. Loni nechal odstranit sochu Koněva,https://www.irozhlas.cz/zpravy-domov/kandidatka-top-09-dominik-feri-ondrej-kolar_2106181153_ban,"Bývalého poslance Dominika Feriho z TOP 09 vystřídá na pražské kandidátce do podzimních voleb starosta Prahy 6 Ondřej Kolář. Starosta, který loni nechal odstranit sochu maršála Koněva, se z devátého místa posunul na čtvrté, které taktéž náleží TOP 09. Výslednou kandidátku představil ve čtvrtek večer výkonný výbor strany.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=18, tm_hour=9, tm_min=53, tm_sec=0, tm_wday=4, tm_yday=169, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"Feri na pražský kandidátka spolu vystřídat starosta Praha 6 kolář . vloni nechat odstranit socha Koněv bývalý poslanec Dominik Feri z top 09 vystřídat na pražský kandidátka do podzimní volba starosta Praha 6 Ondřej kolář . starosta , který vloni nechat odstranit socha maršál Koněv , se z devátý místo posunout na čtvrtý , který taktéž náležet top 09 . výsledný kandidátka představit v čtvrtek večer výkonný výbor strana .",praha_2_chce_v_parku_folimanka_vybudovat_volnocasovy_areal_mistni_proti_tomu_sepsali_petici.wav
318,"Stát poslal do Bruselu žádost o proplacení dotace pro Fatru, chce na ní otestovat Babišův střet zájmů",https://www.irozhlas.cz/zpravy-domov/fatra-dotace-ministerstvo-financi-stret-zajmu_2106161630_onz,"Ministerstvo financí ve středu předložilo Evropské komisi žádost o proplacení dotace pro společnost Fatra, která spadá do holdingu Agrofert ze svěřenského fondu premiéra Andreje Babiše (ANO). Udělalo to z popudu ministerstva průmyslu a obchodu, které navzdory auditnímu řízení ke střetu zájmů dotaci proplatilo. Resorty tak chtějí otestovat reakci Bruselu a získat rozhodnutí o zamítnutí platby, které by mohly žalovat u evropského soudního dvora.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=30, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"stát poslat do Brusel žádost o proplacení dotace pro Fatra , chtít na on otestovat Babišův střet zájem ministerstvo finance v středa předložit evropský komise žádost o proplacení dotace pro společnost Fatra , který spadat do holding Agrofert z svěřenský fond premiér Andrej Babiš ( ano ) . udělat ten z popud ministerstvo průmysl a obchod , který navzdory auditní řízení k střet zájem dotace proplatit . resort tak chtít otestovat reakce Brusel a získat rozhodnutí o zamítnutí platba , který být moci žalovat u evropský soudní dvůr .",pozar_lesa_v_narodnim_parku_ceske_svycarsko_je_pod_kontrolou_hasici_dohasuji_skryta_ohniska.wav
319,Ministerstvo se dohodlo s organizátory táborů na podmínkách testování. Bude stačit jeden PCR test,https://www.irozhlas.cz/zpravy-domov/letni-tabory-testovani-na-koronavirus-pcr_2106161602_zuj,"Dětem bude před odjezdem na letní tábor nově stačit týden starý PCR test. Dohodli se na tom organizátoři táborů a ministerstvo zdravotnictví. Děti s PCR testem se rovněž nebudou muset během pobytu znovu testovat. A to i v případě, že s nimi ve stejném turnusu pojedou děti s antigenním testem nebo samotestem. Výjimku mají ti, kteří koronavirus prodělali nebo mají očkování.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=2, tm_sec=0, tm_wday=2, tm_yday=167, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"ministerstvo se dohodnout s organizátor tábor na podmínka testování . být stačit jeden PCR test dítě být před odjezd na letní tábor nově stačit týden starý PCR test . dohodnout se na ten organizátor tábor a ministerstvo zdravotnictví . dítě s PCR test se rovněž být muset během pobyt znovu testovat . a ten i v případ , že s on v stejný turnus jet dítě s antigenní test nebo samoteset . výjimka mít ten , který koronavirus prodělat nebo mít očkování .",v_cesku_pokracuje_tropicke_pocasi_v_plzni_namerili_temer_35_stupnu_padly_tri_teplotni_rekordy.wav
449,Filip jako advokát zastupoval řadu klientů. V majetkových přiznáních mu ale vedlejší příjmy většinou chybí,https://denikn.cz/645138/filip-jako-advokat-zastupoval-radu-klientu-v-majetkovych-priznanich-mu-ale-vedlejsi-prijmy-vetsinou-chybi/,"Předseda KSČM Vojtěch Filip vedle poslaneckého mandátu provozuje vlastní advokátní praxi. Kolik si touto činností vydělal, však nelze z jeho majetkových přiznání zjistit. Deník N přitom našel řadu klientů, které šéf komunistů za poslední čtyři roky zastupoval. Filip odmítá, že by vedlejší příjmy nepřiznal. Pokud by se tak stalo, hrozila by mu 50tisícová pokuta.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=27, tm_sec=40, tm_wday=2, tm_yday=167, tm_isdst=0)","['Audio', 'Česko']",Česko,,denikn.cz,"filip jako advokát zastupovat řada klient . v majetkový přiznání on ale vedlejší příjem většinou chybět předseda KSČM Vojtěch Filip vedle poslanecký mandát provozovat vlastní advokátní praxe . kolik se tento činnost vydělat , však lze z jeho majetkový přiznání zjistit . deník n přitom najít řada klient , který šéf komunista za poslední čtyři rok zastupovat . filip odmítat , že být vedlejší příjem přiznat . pokud být se tak stát , hrozit být on 50 tisícový pokuta .",fyzicky_tady_bydlim_presvedcoval_pri_privatizaci_arenberger_energie_vsak_temer_nevyuzival.wav
457,"Deník N na summitu USA–Rusko: centrum Ženevy se vyprázdnilo, doprava kvůli Bidenovi s Putinem nekolabuje",https://denikn.cz/647246/denik-n-na-summitu-usa-rusko-centrum-zenevy-se-vyprazdnilo-doprava-kvuli-bidenovi-s-putinem-nekolabuje/,"Švýcarská Ženeva se v parnou středu proměnila v možná nejbezpečnější město světa. Po zuby ozbrojení policisté střeží bezpečnost amerického a ruského prezidenta, kteří se v popoledních hodinách sešli k bilaterálním hovorům. Reportáž z města u francouzských hranic.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=15, tm_min=13, tm_sec=9, tm_wday=2, tm_yday=167, tm_isdst=0)","['Svět', 'Joe Biden', 'Rusko', 'USA', 'Vladimir Putin']",Svět,,denikn.cz,"deník n na summit USA – Rusko : centrum Ženeva se vyprázdnit , doprava kvůli Biden s Putin kolabovat švýcarský Ženeva se v parný středa proměnit v možná bezpečný město svět . po zub ozbrojený policista střežit bezpečnost americký a ruský prezident , který se v popolední hodina sejít k bilaterální hovor . reportáž z město u francouzský hranice .",svetova_media_jsou_vetsinou_se_schuzkou_bidenputin_spokojena_spilaji_ale_trumpovi_priznivci.wav
458,Studio N: Proč chce Orbán vymazat LGBTQ lidi z veřejného prostoru,https://denikn.cz/647064/studio-n-proc-chce-orban-vymazat-lgbtq-lidi-z-verejneho-prostoru/,"Maďarský parlament schválil zákon, který zakazuje šířit mezi mladými lidmi jakékoliv materiály, které zobrazují homosexualitu nebo změnu pohlaví. Diskriminační norma bude mít vliv i na filmy a na výuku ve školách. Orbánova vláda, která se označuje za ochránce tradičních hodnot, tak pokračuje v dalším omezování práv LGBTQ lidí. Hostem podcastu je politoložka Zora Hesová z Ústavu politologie Filozofické fakulty Univerzity Karlovy.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=14, tm_min=38, tm_sec=52, tm_wday=2, tm_yday=167, tm_isdst=0)","['Podcast Studio N', 'Svět', 'LGBTQ', 'Maďarsko', 'Studio N']",Svět,,denikn.cz,"studio n : proč chtít Orbán vymazat q člověk z veřejný prostor maďarský parlament schválit zákon , který zakazovat šířit mezi mladý člověk jakýkoli materiál , který zobrazovat homosexualita nebo změna pohlaví . diskriminační norma být mít vliv i na film a na výuka v škola . Orbánův vláda , který se označovat za ochránce tradiční hodnota , tak pokračovat v další omezování právo Lgbtq člověk . host podcast být politoložka Zora Hesová z ústav politologie filozofický fakulta univerzita Karlův .",studio_n_zakulisi_setkani_bidena_s_putinem.wav
459,Zavraždil soudce i 14letého chlapce. Obávaný mafián je po 25 letech na svobodě,https://denikn.cz/647024/zavrazdil-prokuratora-i-14leteho-chlapce-obavany-mafian-je-po-25-letech-na-svobode/,"Italové se nedokážou shodnout na tom, zda je propuštění mafiána Giovanniho Bruscy pohlavek spravedlnosti, nebo naopak její vítězství.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=16, tm_hour=12, tm_min=28, tm_sec=25, tm_wday=2, tm_yday=167, tm_isdst=0)","['Audio', 'Hlavní', 'Svět']",Svět,,denikn.cz,"zavraždit soudce i 14 letý chlapec . obávaný mafián být po 25 rok na svoboda Ital se dokázat shodnout na ten , zda být propuštění mafián Giovanni Brusca pohlavek spravedlnost , nebo naopak jeho vítězství .",po_prvnim_smrtelnem_utoku_chteji_slovensti_myslivci_a_lesnici_medvedy_opet_strilet.wav
300,ONLINE: Ve čtvrtek přibylo 163 nakažených. Podíl pozitivních testů je oproti minulému týdnu vyšší,https://www.irozhlas.cz/zpravy-domov/koronavirus-covid-cesko-ockovani-testovani-pcr-antigenni-data-online_2106180938_ban,"Ve čtvrtek přibylo v Česku 163 případů nemoci covid-19, což je o 14 procent méně než před týdnem. Pacientů nemocnic s covidem-19 bylo ke čtvrtku 107, tedy nejméně od začátku loňského srpna. Vyplývá to z údajů na webu ministerstva zdravotnictví. Navzdory poklesu počtu nově nakažených ale stoupl podíl pozitivních testů. Oproti minulému týdnu totiž ve čtvrtek stejně jako v předchozích dnech výrazně ubylo testovaných.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=18, tm_hour=7, tm_min=38, tm_sec=0, tm_wday=4, tm_yday=169, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"online : v čtvrtek přibýt 163 nakažený . podíl pozitivní test být oproti minulý týden vysoký v čtvrtek přibýt v Česko 163 případ nemoc covid - 19 , což být o 14 procento málo než před týden . pacient nemocnice s covid - 19 být k čtvrtek 107 , tedy málo od začátek loňský srpen . vyplývat ten z údaj na web ministerstvo zdravotnictví . navzdory pokles počet nově nakažený ale stoupnout podíl pozitivní test . oproti minulý týden totiž v čtvrtek stejně jako v předchozí den výrazně ubýt testovaný .",ctyrnasobny_prezident_ceske_lekarske_komory_kubek_obhajil_post_na_dalsich_pet_let.wav
301,"Výběr z médií: zdanění zásilek z Číny, zakázka na pásové obrněnce i pití piva doma",https://www.irozhlas.cz/zpravy-domov/vyber-z-medii-dane-zasilky-ciny-zakazka-obrnence-piti-piva_2106180714_tzr,"Menší zásilky ze zemí mimo Evropskou unii budou nově podléhat zdanění. Informuje o tom deník E15. Ministerstvo obrany přiznalo, že se zakázka na pásové obrněnce pro českou armádu nestihne do podzimních sněmovních voleb podepsat. Píše to Deník N. A Hospodářské noviny se zaměřily na stále větší oblibu Čechů pít pivo doma a s tím související zvýšený zájem o soudky. Více ve výběru z médií, který připravil Radiožurnál.","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=18, tm_hour=5, tm_min=14, tm_sec=0, tm_wday=4, tm_yday=169, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"výběr z médium : zdanění zásilka z Čína , zakázka na pásový obrněnec i pití pivo doma malý zásilka z země mimo evropský unie být nově podléhat zdanění . informovat o ten deník e 15 . ministerstvo obrana přiznat , že se zakázka na pásový obrněnec pro český armáda stihnout do podzimní sněmovní volba podepsat . psát ten deník N . a hospodářský noviny se zaměřit na stále velký obliba Čech pít pivo doma a s ten související zvýšený zájem o soudek . hodně v výběr z médium , který připravit Radiožurnál .",popraskana_dalnice_d35_zapricinila_nehodu_peti_aut_zustane_uzavrena_nejmene_tyden_zraneno_je_10_lidi.wav
302,"Nic mimořádného, říká k půlmiliardové pokutě Havlíček. Na řešení je prý dost času, navzdory ultimátu",https://www.irozhlas.cz/zpravy-domov/pokuta-pul-miliardy-havlicek-dotace-agrofert-stret-zajmu-ministerstvo-prumyslu_2106180620_tec,"Evropská komise dala ministerstvu průmyslu a obchodu měsíc na to, aby uznalo pokutu ve výši 543 446 809 korun za chyby v rozdělování dotací. Pokud ji resort akceptuje, bude moci tyto peníze rozdělit mezi jiné, neproblematické projekty. Resort to ale dosud neudělal a hrozí, že o sumu zcela přijde. „Je třeba si danou věc s Evropskou komisí vyjasnit, čas na to je do konce roku 2023,“ brání postup ministerstva jeho šéf Karel Havlíček (za ANO).","FeedparserTime(tm_year=2021, tm_mon=6, tm_mday=18, tm_hour=4, tm_min=20, tm_sec=0, tm_wday=4, tm_yday=169, tm_isdst=0)",[],Zprávy z domova,,irozhlas.cz,"nic mimořádný , říkat k půlmiliardový pokuta Havlíček . na řešení být prý dost čas , navzdory ultimátum evropský komise dát ministerstvo průmysl a obchod měsíc na ten , aby uznat pokuta v výše 543 446 809 koruna za chyba v rozdělování dotace . pokud on resort akceptovat , být moci tento peníze rozdělit mezi jiný , problematický projekt . rezort ten ale dosud udělat a hrozit , že o suma zcela přijít . „ být třeba se daný věc s evropský komise vyjasnit , čas na ten být do konec rok 2023 , “ bránit postup ministerstvo jeho šéf Karel Havlíček ( za ANO ) .",evropske_predsednictvi_situace_v_belorusku_kulhanek_jednal_se_zemanem_o_prioritach_ceske_diplomacie.wav
